x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
529.733,190.359,518.118,362.932,345.435,345.814,247.618,598.678,529.558,564.001,679.355,380.241,765.553,610.08,690.709,656.126,495.253,719.648,,,,,,,,,,,,,489.637,155.603,569.911,155.683,437.699,167.504,615.661,184.558,,,,,,,,,,,,
558.482,195.855,558.398,357.26,374.268,357.111,299.505,667.708,391.677,552.59,719.765,357.154,840.098,621.581,753.791,673.621,541.191,719.646,,,,,,,633.334,719.682,,,,,523.709,155.55,587.283,155.509,466.49,172.986,644.679,167.484,,,,,,,,,,,,
454.849,207.745,443.521,385.676,282.296,385.815,207.388,633.202,437.659,719.56,621.702,380.186,708.174,598.728,610.191,656.282,,,,,,,,,,,,,,,420.418,167.536,483.94,161.903,351.601,201.52,530.001,190.323,,,,,,,,,,,,
529.954,184.46,524.175,379.927,345.584,374.224,288.142,610.227,477.843,667.962,696.37,380.053,788.446,593.039,702.081,662.035,523.917,719.666,414.644,719.651,,,,,,,,,,,500.828,150.141,570.222,155.505,443.492,173.164,616.124,173.191,,,,,,,,,,,,
558.469,190.255,558.41,357.27,374.228,357.207,299.393,667.783,397.521,529.885,725.323,357.056,840.163,621.648,753.705,673.618,552.702,719.645,,,,,,,,,,,,,523.696,150.146,587.295,150.092,471.922,172.972,644.621,172.983,,,,,,,,,,,,
512.362,173.096,495.309,368.643,333.977,368.567,253.672,615.684,426.139,668.005,667.582,374.461,748.143,581.635,662.061,662.045,483.663,719.671,385.774,719.673,,,,,,,,,,,477.785,149.831,535.651,149.84,426.2,167.508,581.601,167.531,,,,,,,,,,,,
529.788,201.739,524.072,345.777,345.555,351.261,270.939,621.51,408.887,644.716,702.116,345.6,782.854,610.172,707.899,604.391,529.755,719.665,437.521,719.674,,,,,627.401,719.658,,,,,489.424,161.333,569.965,155.923,437.649,184.61,615.977,173.209,,,,,,,,,,,,
535.435,196.051,524.032,380.138,345.582,379.952,293.578,661.703,478.144,639.036,690.826,379.967,799.7,604.542,748.308,650.468,529.332,719.652,,,,,,,,,,,,,506.65,155.61,575.628,155.84,437.969,161.807,616.127,173.189,,,,,,,,,,,,
523.901,167.522,518.006,351.549,339.651,345.846,247.89,615.703,299.729,587.118,679.256,357.251,759.523,581.495,685.014,621.616,,,,,,,,,,,,,,,483.708,138.576,564.001,149.879,431.97,161.719,587.289,167.437,,,,,,,,,,,,
523.599,190.203,506.668,374.3,333.872,362.948,190.168,570.132,293.776,610.099,673.584,374.431,759.8,587.297,668.044,655.977,,,,,,,,,,,,,,,483.451,155.529,552.73,155.601,431.777,173.068,593.002,178.826,,,,,,,,,,,,
454.938,201.575,449.146,380.141,282.431,380.164,207.579,621.885,437.639,719.573,621.848,380.116,708.153,610.127,581.46,667.562,454.96,719.705,,,,,,,,,,,,,425.969,156.022,484.006,155.947,362.799,190.288,535.361,178.851,,,,,,,,,,,,
523.831,161.528,518.015,351.552,339.692,345.801,247.735,621.548,299.512,575.625,679.207,357.244,759.547,581.466,685.032,621.609,495.177,719.636,397.51,719.651,,,,,581.644,719.652,,,,,483.545,121.521,558.54,127.155,431.929,161.639,587.262,167.405,,,,,,,,,,,,
529.506,213.298,517.934,380.14,340.084,374.267,259.544,633.235,437.958,661.981,679.316,385.63,765.618,604.492,696.498,656.077,518.084,719.652,,,,,,,,,,,,,483.912,173.022,569.833,173.103,432.016,190.255,610.314,196.113,,,,,,,,,,,,
443.542,201.901,443.481,385.667,282.208,385.735,201.933,627.478,437.483,719.56,621.574,380.182,708.004,604.539,604.432,656.103,,,,,,,,,,,,,,,408.873,161.609,483.695,161.37,351.428,195.993,529.737,190.262,,,,,,,,,,,,
541.17,184.501,495.283,374.284,334.008,368.597,236.347,610.034,357.177,650.481,667.707,380.013,748.061,592.911,627.427,656.286,483.436,719.654,,,,,,,,,,,,,500.897,155.516,569.999,150.068,431.929,173.211,604.31,161.377,,,,,,,,,,,,
535.617,202.029,529.549,345.848,351.394,351.269,287.931,621.508,431.843,656.083,707.795,345.658,794.299,610.201,707.954,610.055,530.008,719.657,443.374,719.68,,,,,627.429,719.661,,,,,500.842,161.637,575.707,161.423,437.939,190.347,621.656,173.198,,,,,,,,,,,,
506.761,196.079,500.997,351.572,339.675,345.62,253.711,615.807,351.351,661.791,668.013,374.482,748.343,621.646,673.655,627.365,489.517,719.667,391.783,719.714,,,,,,,,,,,472.179,155.742,535.462,155.672,414.646,167.489,581.604,161.885,,,,,,,,,,,,
535.579,155.586,535.399,351.607,357.161,351.506,293.746,650.489,368.639,523.992,713.576,357.201,777.029,575.916,713.845,621.712,523.791,719.617,437.564,719.65,,,,,604.436,719.631,,,,,512.333,115.623,575.63,115.664,460.622,161.306,621.51,161.479,,,,,,,,,,,,
523.946,207.654,518.223,351.539,340.063,351.268,276.477,627.411,385.582,472.223,685.033,357.174,759.66,581.377,690.673,621.617,512.369,719.642,414.664,719.647,,,,,604.448,719.643,,,,,483.662,167.189,564.163,161.889,432.045,173.012,610.087,178.788,,,,,,,,,,,,
529.411,201.67,500.982,380.177,322.558,379.927,282.307,633.218,477.919,558.412,668.053,385.539,765.618,610.246,708.138,656.193,,,,,,,,,,,,,,,483.899,156.032,569.722,161.327,431.869,184.504,610.21,195.978,,,,,,,,,,,,
524.144,190.276,506.634,385.769,328.362,380.238,253.409,667.735,449.258,552.611,685.017,385.797,776.913,610.205,725.363,656.064,,,,,,,,,,,,,,,483.831,155.576,569.617,155.676,431.909,173.06,610.068,190.347,,,,,,,,,,,,
483.733,195.922,483.816,368.53,305.396,357.159,247.654,633.346,345.827,661.819,662.147,374.294,725.292,621.892,627.365,633.334,477.941,719.665,385.704,719.714,,,,,,,,,,,443.515,155.637,523.957,155.517,391.821,167.408,570.043,167.302,,,,,,,,,,,,
529.855,190.224,517.977,385.689,328.3,379.969,247.982,667.651,368.591,552.774,696.516,385.83,765.474,610.154,713.481,661.598,,,,,,,,,,,,,,,495.097,155.463,570.044,155.621,437.651,167.531,615.749,178.874,,,,,,,,,,,,
523.915,184.578,506.593,379.969,322.679,368.683,288.105,633.271,489.417,569.854,668.073,380.121,759.664,610.127,702.101,656.216,,,,,,,,,,,,,,,483.625,155.488,564.018,155.483,431.814,178.769,604.466,178.917,,,,,,,,,,,,
512.343,173.199,500.826,368.656,334.001,368.634,253.568,615.712,426.157,668.05,667.587,374.435,748.369,587.175,661.987,662.055,483.631,719.668,380.161,719.659,,,,,,,,,,,477.789,149.869,535.662,149.939,426.187,167.448,581.597,172.97,,,,,,,,,,,,
523.652,178.787,517.999,379.903,339.723,374.306,259.442,615.757,466.471,667.917,673.482,380.007,760.085,593.033,673.638,667.429,512.377,719.661,,,,,,,,,,,,,483.449,155.484,552.711,150.144,431.791,178.904,593.02,178.774,,,,,,,,,,,,
564.042,201.517,535.664,368.585,368.518,351.528,207.69,569.922,305.372,569.675,713.638,380.009,799.828,598.591,685.058,661.712,529.772,719.653,437.895,719.647,,,,,621.525,719.664,,,,,523.985,155.973,587.302,155.966,472.134,178.733,633.362,178.761,,,,,,,,,,,,
518.159,201.799,500.824,379.916,322.649,368.684,259.26,633.267,477.879,610.274,667.886,380.077,759.661,610.106,702.132,656.158,512.413,719.659,,,,,,,,,,,,,477.985,161.322,552.692,161.427,426.096,184.621,598.673,195.931,,,,,,,,,,,,
541.231,184.625,529.87,374.403,345.718,368.613,293.622,661.808,345.672,569.97,708.005,374.393,800.174,604.548,753.851,650.358,,,,,,,,,,,,,,,517.951,150.118,575.85,155.546,449.256,167.269,621.714,173.088,,,,,,,,,,,,
529.63,201.887,506.666,385.615,333.928,380.117,282.41,639.071,483.941,616.213,673.396,385.609,760.073,610.21,707.823,661.622,523.842,719.661,,,,,,,,,,,,,484.0,161.462,569.877,161.431,432.018,190.345,615.754,196.017,,,,,,,,,,,,
529.478,178.905,523.816,374.473,339.955,374.318,270.774,615.665,472.114,668.023,684.913,379.931,771.337,587.183,690.632,662.044,518.166,719.66,403.228,719.648,,,,,,,,,,,489.385,155.503,569.688,155.513,437.639,178.775,615.689,178.907,,,,,,,,,,,,
529.484,184.532,518.142,385.726,334.203,380.112,259.331,662.015,437.474,610.248,696.435,385.743,777.088,610.203,736.806,656.272,,,,,,,,,,,,,,,483.997,155.478,569.734,155.509,437.457,178.783,610.313,184.636,,,,,,,,,,,,
529.648,201.694,518.122,368.708,339.882,351.481,167.517,569.712,311.142,535.544,684.945,380.145,754.121,587.201,644.701,661.675,,,,,,,,,,,,,,,489.509,161.345,569.748,156.078,437.599,184.57,610.059,178.858,,,,,,,,,,,,
523.709,201.659,512.298,374.303,328.454,362.975,293.663,661.657,483.578,661.91,673.682,374.458,748.109,570.041,719.412,621.65,523.795,719.656,431.904,719.679,,,,,,,,,,,483.439,155.978,558.295,155.968,426.261,167.523,598.703,172.976,,,,,,,,,,,,
523.864,207.521,500.849,380.244,328.343,380.101,270.875,656.167,477.843,662.054,667.871,385.556,759.641,610.276,696.595,656.217,523.614,719.674,,,,,,,,,,,,,483.583,161.879,564.024,167.211,431.707,195.921,609.973,196.122,,,,,,,,,,,,
558.364,167.462,535.43,374.332,351.504,374.456,293.698,661.935,420.499,564.082,713.569,368.615,800.015,598.773,753.894,644.774,,,,,,,,,,,,,,,523.704,132.87,587.114,138.617,466.375,161.89,627.384,167.286,,,,,,,,,,,,
518.152,201.776,489.487,368.634,328.342,357.262,236.343,587.19,374.336,667.747,662.07,379.978,742.467,581.635,627.407,661.69,478.037,719.653,380.083,719.699,,,,,,,,,,,478.08,161.294,546.985,161.466,426.136,167.442,581.646,178.73,,,,,,,,,,,,
